"Div","Date","Time","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Referee","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","timeofday","TotalYellow","TotalRed","HBP","ABP","TBP","Total.Fouls","B365H","B365D","B365A","B365CH","B365CD","B365CA","ExpectedR","POS","ERO"
"E0","12/09/2020","12:30","Fulham","Arsenal",0,3,"A",0,1,"A","C Kavanagh",5,13,2,6,12,12,2,3,2,2,0,0,"Afternoon",4,0,20,20,40,24,6,4.33,1.53,5,4,1.66,"A","Y",1.66
"E0","12/09/2020","15:00","Crystal Palace","Southampton",1,0,"H",1,0,"H","J Moss",5,9,3,5,14,11,7,3,2,1,0,0,"Afternoon",3,0,20,10,30,25,3.1,3.25,2.37,3,3.25,2.4,"A","N",2.4
"E0","12/09/2020","17:30","Liverpool","Leeds",4,3,"H",3,2,"H","M Oliver",22,6,6,3,9,6,9,0,1,0,0,0,"Evening",1,0,10,0,10,15,1.28,6,9.5,1.25,6,11,"H","Y",1.25
"E0","12/09/2020","20:00","West Ham","Newcastle",0,2,"A",0,0,"D","S Attwell",15,15,3,2,13,7,8,7,2,2,0,0,"Evening",4,0,20,20,40,20,2.15,3.4,3.4,1.95,3.6,3.75,"H","N",1.95
"E0","13/09/2020","14:00","West Brom","Leicester",0,3,"A",0,0,"D","A Taylor",7,13,1,7,12,9,2,5,1,1,0,0,"Afternoon",2,0,10,10,20,21,3.8,3.6,1.95,3.25,3.4,2.2,"A","Y",2.2
"E0","13/09/2020","16:30","Tottenham","Everton",0,1,"A",0,0,"D","M Atkinson",9,15,5,4,15,7,5,3,1,0,0,0,"Afternoon",1,0,10,0,10,22,1.83,3.6,4.33,2,3.4,3.8,"H","N",2
"E0","14/09/2020","20:15","Brighton","Chelsea",1,3,"A",0,1,"A","C Pawson",13,10,3,5,8,13,4,3,1,0,0,0,"Evening",1,0,10,0,10,21,5,4.33,1.61,5.75,4.4,1.53,"A","Y",1.53
"E0","14/09/2020","18:00","Sheffield United","Wolves",0,2,"A",0,2,"A","M Dean",9,11,2,4,13,7,12,5,2,1,0,0,"Evening",3,0,20,10,30,20,3.25,3.1,2.37,3.2,2.9,2.55,"A","Y",2.55
"E0","19/09/2020","12:30","Everton","West Brom",5,2,"H",2,1,"H","M Dean",17,6,7,4,9,11,11,1,1,0,0,1,"Afternoon",1,1,10,25,35,20,1.5,4.2,6.5,1.57,4,6,"H","Y",1.57
"E0","19/09/2020","15:00","Leeds","Fulham",4,3,"H",2,1,"H","A Taylor",10,14,7,6,13,18,5,3,1,2,0,0,"Afternoon",3,0,10,20,30,31,1.61,3.9,5.75,1.66,3.8,5.25,"H","Y",1.66
"E0","19/09/2020","17:30","Man United","Crystal Palace",1,3,"A",0,1,"A","M Atkinson",13,14,4,5,13,10,9,3,2,1,0,0,"Evening",3,0,20,10,30,23,1.3,5.5,9.5,1.36,5,8,"H","N",1.36
"E0","19/09/2020","20:00","Arsenal","West Ham",2,1,"H",1,1,"D","M Oliver",7,14,3,3,11,13,7,5,0,1,0,0,"Evening",1,0,0,10,10,24,1.53,4.5,5.5,1.45,4.5,7,"H","Y",1.45
"E0","20/09/2020","12:00","Southampton","Tottenham",2,5,"A",1,1,"D","D Coote",14,9,7,6,16,18,3,2,4,3,0,0,"Afternoon",7,0,40,30,70,34,3,3.3,2.37,3.3,3.4,2.2,"A","Y",2.2
"E0","20/09/2020","14:00","Newcastle","Brighton",0,3,"A",0,2,"A","K Friend",6,13,0,6,16,15,7,1,3,0,0,1,"Afternoon",3,1,30,25,55,31,2.6,3.1,2.87,2.5,3.25,2.9,"H","N",2.5
"E0","20/09/2020","16:30","Chelsea","Liverpool",0,2,"A",0,0,"D","P Tierney",5,18,3,6,10,6,1,11,0,0,1,0,"Afternoon",0,1,25,0,25,16,3.1,3.6,2.2,3.4,3.9,2,"A","Y",2
